Apr 30;1500z to 31.05 1500z;A1 CLUB QSO PARTY;https://a1club.org/events/PTY/pty-en.htm
May 1;0000z to 31.05 2359z;AGCW 50th Anniversary;https://www.agcw.de/contest/agcw50-jubilaeumsaktivitaet/
May 1;0000z to 31.05 2359z;FISTS Eu Word Search;https://fists.co.uk/activitiescalendar.html#fistsws2021
May 28;2000z to 2100z;K1USN Slow Speed Test EU;http://www.k1usn.com/sst.html
May 31;0000z to 0100z;K1USN Slow Speed Test NA;http://www.k1usn.com/sst.html
Jun 1;0000z to 30.06 2359z;FISTS Eu Word Search;https://fists.co.uk/activitiescalendar.html#fistsws2021
Jun 1;0000z to 2359z;SKCC's Slow Speed Saunter (CQS);https://www.skccgroup.com/operating_activities/slowspeed/
Jun 1;0001z to 2359z;FISTS Eu Mechanical Key Days;https://fists.co.uk/activitiescalendar.html#fistsmkd2021
Jun 2;13z,19z,03z;CWOps CWT;https://cwops.org/cwops-tests/
Jun 3;1900z to 2100z;Straight Key Sprint Europe (SKSE);https://www.skccgroup.com/operating_activities/skse/
Jun 3;1900z to 2000z;EACW Test;https://drive.google.com/file/d/1EV9DXfa9886ytZ_B6wrlUdo1OltLBOX8/view
Jun 4;2000z to 2100z;K1USN Slow Speed Test EU;http://www.k1usn.com/sst.html
Jun 7;0000z to 0100z;K1USN Slow Speed Test NA;http://www.k1usn.com/sst.html
Jun 9;0030z to 0230z;NAQCC QRP/CW Sprint;http://naqcc.info/sprint_rules.html
Jun 9;13z,19z,03z;CWOps CWT;https://cwops.org/cwops-tests/
Jun 10;1900z to 2000z;EACW Test;https://drive.google.com/file/d/1EV9DXfa9886ytZ_B6wrlUdo1OltLBOX8/view
Jun 11;2000z to 2100z;K1USN Slow Speed Test EU;http://www.k1usn.com/sst.html
Jun 12;1200z to 13.06 2359z;SKCC's Weekend Sprintathon (WES);https://www.skccgroup.com/operating_activities/weekend_sprintathon/
Jun 13;14-16z & 18-20z;FISTS Eu Ladder;https://fists.co.uk/activitiescalendar.html#fistsladder2021
Jun 14;0000z to 0100z;K1USN Slow Speed Test NA;http://www.k1usn.com/sst.html
Jun 15;0000z to 2359z;HSC Activity Day;https://hsc.lima-city.de/en/activityday.html
Jun 16;13z,19z,03z;CWOps CWT;https://cwops.org/cwops-tests/
Jun 17;1900z to 2000z;EACW Test;https://drive.google.com/file/d/1EV9DXfa9886ytZ_B6wrlUdo1OltLBOX8/view
Jun 18;2000z to 2100z;K1USN Slow Speed Test EU;http://www.k1usn.com/sst.html
Jun 21;0000z to 0100z;K1USN Slow Speed Test NA;http://www.k1usn.com/sst.html
Jun 23;13z,19z,03z;CWOps CWT;https://cwops.org/cwops-tests/
Jun 23;0000z to 0200z;The Straight Key Sprint;https://www.skccgroup.com/operating_activities/weekday_sprint/
Jun 24;1900z to 2000z;EACW Test;https://drive.google.com/file/d/1EV9DXfa9886ytZ_B6wrlUdo1OltLBOX8/view
Jun 25;2000z to 2100z;K1USN Slow Speed Test EU;http://www.k1usn.com/sst.html
Jun 26;12z,17z,20z;RCWC 4 SEASONS 2021 Summer;soon
Jun 26;06-09z, 14-17z;Concours QRP – UFT;https://www.uft.net/concours-qrp-uft/ 
Jun 27;14-16z & 18-20z;FISTS Eu Ladder;https://fists.co.uk/activitiescalendar.html#fistsladder2021
Jun 28;0000z to 0100z;K1USN Slow Speed Test NA;http://www.k1usn.com/sst.html
Jun 30;13z,19z,03z;CWOps CWT;https://cwops.org/cwops-tests/
